,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk
0,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056.0,2.0,1.0,39.07,2.0
1,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600.0,5.0,3.0,120.0,4.0
3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521.0,3.0,1.0,95.0,3.0
5,Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170.0,2.0,1.0,38.0,2.0
11,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785.0,5.0,3.0,295.0,4.0
12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000.0,2.0,1.0,38.0,2.0
14,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250.0,3.0,2.0,148.0,3.0
15,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175.0,2.0,2.0,73.5,2.0
16,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180.0,3.0,2.0,48.0,3.0
17,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540.0,3.0,3.0,60.0,3.0
21,Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755.0,3.0,1.0,122.0,3.0
22,Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800.0,5.0,2.0,380.0,4.0
26,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660.0,1.0,1.0,23.1,2.0
28,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151.0,2.0,2.0,48.77,2.0
29,Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025.0,2.0,1.0,47.0,3.0
31,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,35.0,3.0
32,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760.0,2.0,2.0,123.0,3.0
33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693.0,3.0,3.0,57.39,3.0
